ophys_session_id,date_of_acquisition,rig_id,rig_name,screen_center_x_mm,screen_center_y_mm,screen_center_z_mm
610489749,3/31/15 19:00,480119305,CAM2P.1,170,0,0
610489756,3/31/15 19:00,480119305,CAM2P.1,170,0,0
610489763,4/3/15 19:00,480119305,CAM2P.1,170,0,0
610489770,4/3/15 19:00,480119305,CAM2P.1,170,0,0
610489777,4/4/15 19:00,480119305,CAM2P.1,170,0,0
610489784,4/4/15 19:00,480119305,CAM2P.1,170,0,0
610489791,4/7/15 19:00,480119305,CAM2P.1,170,0,0
610489798,4/10/15 19:00,480119307,CAM2P.2,170,0,0
610489805,4/10/15 19:00,480119307,CAM2P.2,170,0,0
610489812,4/12/15 19:00,480119307,CAM2P.2,170,0,0
610489819,4/12/15 19:00,480119307,CAM2P.2,170,0,0
610489826,4/14/15 19:00,480119307,CAM2P.2,170,0,0
610489833,4/14/15 19:00,480119307,CAM2P.2,170,0,0
610489840,4/15/15 19:00,480119305,CAM2P.1,170,0,0
610489847,4/15/15 19:00,480119307,CAM2P.2,170,0,0
610489854,4/15/15 19:00,480119307,CAM2P.2,170,0,0
610489861,4/21/15 19:00,480119307,CAM2P.2,170,0,0
610489868,4/21/15 19:00,480119307,CAM2P.2,170,0,0
610489875,4/21/15 19:00,480119307,CAM2P.2,170,0,0
610489882,4/21/15 19:00,480119307,CAM2P.2,170,0,0
610489889,4/22/15 19:00,480119307,CAM2P.2,170,0,0
610489896,4/22/15 19:00,480119307,CAM2P.2,170,0,0
610489903,4/23/15 19:00,480119307,CAM2P.2,170,0,0
610489910,4/23/15 19:00,480119307,CAM2P.2,170,0,0
610489917,4/23/15 19:00,480119305,CAM2P.1,170,0,0
610489924,4/24/15 19:00,480119305,CAM2P.1,170,0,0
610489931,4/24/15 19:00,480119305,CAM2P.1,170,0,0
610489938,4/24/15 19:00,480119305,CAM2P.1,170,0,0
610489945,4/28/15 19:00,480119305,CAM2P.1,170,0,0
610489952,4/28/15 19:00,480119305,CAM2P.1,170,0,0
610489959,4/28/15 19:00,480119305,CAM2P.1,170,0,0
610489966,4/30/15 19:00,480119307,CAM2P.2,170,0,0
610489973,4/30/15 19:00,480119307,CAM2P.2,170,0,0
610489980,5/4/15 19:00,480119305,CAM2P.1,170,0,0
610489987,5/4/15 19:00,480119305,CAM2P.1,170,0,0
610489994,5/6/15 19:00,480119305,CAM2P.1,170,0,0
610490001,5/13/15 19:00,480119305,CAM2P.1,170,0,0
610490008,5/13/15 19:00,480119305,CAM2P.1,170,0,0
610490015,5/14/15 19:00,480119305,CAM2P.1,170,0,0
610490022,5/14/15 19:00,480119305,CAM2P.1,170,0,0
610490029,5/19/15 19:00,480119305,CAM2P.1,170,0,0
610490036,6/10/15 19:00,480119305,CAM2P.1,170,0,0
610490043,6/10/15 19:00,480119305,CAM2P.1,170,0,0
610490064,6/10/15 19:00,480119305,CAM2P.1,170,0,0
610490050,6/11/15 19:00,480119305,CAM2P.1,170,0,0
610490057,6/11/15 19:00,480119305,CAM2P.1,170,0,0
610490071,6/16/15 19:00,480119305,CAM2P.1,170,0,0
610490078,6/16/15 19:00,480119305,CAM2P.1,170,0,0
610490085,6/17/15 19:00,480119305,CAM2P.1,170,0,0
610490092,6/17/15 19:00,480119305,CAM2P.1,170,0,0
610490099,6/18/15 19:00,480119307,CAM2P.2,170,0,0
610490106,6/18/15 19:00,480119307,CAM2P.2,170,0,0
610490113,6/22/15 19:00,480119305,CAM2P.1,170,0,0
610490120,6/22/15 19:00,480119307,CAM2P.2,170,0,0
610490127,6/22/15 19:00,480119307,CAM2P.2,170,0,0
610490134,6/23/15 19:00,480119307,CAM2P.2,170,0,0
610490141,6/23/15 19:00,480119307,CAM2P.2,170,0,0
610490148,6/24/15 19:00,480119307,CAM2P.2,170,0,0
610490155,6/25/15 19:00,480119307,CAM2P.2,170,0,0
610490162,6/25/15 19:00,480119307,CAM2P.2,170,0,0
610490169,6/26/15 19:00,480119307,CAM2P.2,170,0,0
610490176,6/26/15 19:00,480119307,CAM2P.2,170,0,0
610490183,6/29/15 19:00,480119307,CAM2P.2,170,0,0
610490190,6/30/15 19:00,480119307,CAM2P.2,170,0,0
610490197,6/30/15 19:00,480119307,CAM2P.2,170,0,0
610490204,7/1/15 19:00,480119307,CAM2P.2,170,0,0
610490211,7/1/15 19:00,480119305,CAM2P.1,170,0,0
